route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
nir:17029: :R:y14,,29,Bus 29,"Rathfriland, Bus Depot - Banbridge, Kenlis Street",3,,,
nir:08052:0:H:y14,,520,Bus 520,Belfast - Newcastle,3,,,
nir:03127: :R:y14,,127,Bus 127,"Magherafelt, Buscentre - Ballymena, Buscentre",3,,,
nir:01321: :H:y14,,321c,Bus 321c,Antrim Town Service,3,,,
nir:08051:8:H:y14,,518,Bus 518,Belfast - Newcastle,3,,,
nir:03324:B:H:y14,,324B,Bus 324B,Ballymena Town Service Ballykeel,3,,,
nir:15061: :R:mtt,,61,Bus 61,Carr's Glen - City Centre,3,,,
nir:14110:C:H:y14,,110c,Bus 110c,Antrim - Randalstown,3,,,
nir:13051:1:H:y14,,511,Bus 511,Belfast - Comber - Shrigley Mill,3,,,
nir:14011:2:H:y14,,112,Bus 112,Magherafelt - Draperstown,3,,,
nir:12006: :H:y14,,6,Bus 6,"Bangor, Buscentre - Newtownards, Gibsons Lane",3,,,
nir:05116:C:H:y14,,116c,Bus 116c,Maghera - Magherafelt,3,,,
nir:15001:8:H:mtt,,18,Bus 18,City Centre - Gilnahirk,3,,,
nir:15600:A:R:mtt,,600A,Bus 600A,George Best Belfast City Airport - City Centre,3,,,
nir:05012:0:H:y14,,120,Bus 120,Belfast - Ballymena - Coleraine,3,,,
nir:02070: :H:y14,,70,Bus 70,"Armagh - Monaghan, Bus Station",3,,,
nir:15004:B:H:mtt,,4B,Bus 4B,City Centre - Dundonald - Coopers Mill,3,,,
nir:15010:B:R:mtt,,10B,Bus 10B,Poleglass - City Centre,3,,,
nir:09261: :R:y14,,261,Bus 261,Enniskillen - Belfast,3,,,
nir:06004:6:H:y14,,46,Bus 46,Lurgan - Portadown,3,,,
nir:13325:C:H:y14,,325D,Bus 325D,Lisburn City Service - Killowen Grange,3,,,
nir:09008:0:R:y14,,80,Bus 80,Cookstown- Coalisland - Dungannon,3,,,
nir:17338:B:H:y14,,338C,Bus 338C,Newry City Service - Carrivemaclone,3,,,
nir:07LIN: :H:y14,,LINK,Bus LINK,Derry~Londonderry Centre - Waterside,3,,,
nir:17042: :H:y14,,42,Bus 42,"Newry, Buscentre - Crossmaglen, Square",3,,,
nir:15001:C:R:mtt,,1C,Bus 1C,Glenville - Fairview Road - New Mossley - City Centre,3,,,
nir:13052:5:R:y14,,525,Bus 525,Lisburn - Belfast,3,,,
nir:13325:G:H:y14,,325L,Bus 325L,"Lisburn City Service - Hilden, Glenmore Drive",3,,,
nir:15002:A:R:mtt,,2A,Bus 2A,Fairview Road - City Centre,3,,,
nir:17036: :R:y14,,36,Bus 36,"Kilcoo - Rathfriland, Bus Depot",3,,,
nir:07098: :H:y14,,98,Bus 98,"Derry, Foyle Street Buscentre - Strabane, Buscentre",3,,,
nir:15009:A:H:mtt,,9A,Bus 9A,City Centre - Conway,3,,,
nir:05116:B:R:y14,,116b,Bus 116b,Magherafelt - Maghera,3,,,
nir:09067: :R:y14,,67,Bus 67,Dungannon - Portadown,3,,,
nir:1905B: :R:y14,,5B,Bus 5B,Comber - Newtownards,3,,,
nir:07014:8:H:y14,,148,Bus 148,Derry~Londonderry - Claudy,3,,,
nir:15064:B:H:mtt,,64B,Bus 64B,City Centre - Downview,3,,,
nir:01321:B:H:y14,,321b,Bus 321b,Antrim Town Service,3,,,
nir:03150: :R:y14,,150,Bus 150,"Cushendun, Square - Ballymena, Buscentre",3,,,
nir:17004:5:H:y14,,45,Bus 45,Belfast - Banbridge - Newry,3,,,
nir:12009:B:R:y14,,9B,Bus 9B,"Portaferry - Belfast, Europa Buscentre",3,,,
nir:15008:1:H:mtt,,81,Bus 81,City Centre - Turf Lodge - Glen Road - Hannahstown,3,,,
nir:1300X:1:R:y14,,X1,Bus X1,Dublin - Dublin Airport - Belfast,3,,,
nir:130X1: :H:y14,,X1,Bus X1,Belfast - Dublin Airport - Dublin,3,,,
nir:09008:6:H:y14,,86,Bus 86,Dungannon - Carrickmore - Omagh,3,,,
nir:17240:C:R:y14,,240,Bus 240,"Newry, Buscentre - Downpatrick, Bus Station",3,,,
nir:15012:B:R:mtt,,12B,Bus 12B,Carr's Glen - City Centre,3,,,
nir:17044: :H:y14,,44,Bus 44,Newry - Newtownhamilton - Armagh,3,,,
nir:03128: :H:y14,,128,Bus 128,"Ballymena, Buscentre - Carnlough",3,,,
nir:02061:A:R:y14,,61,Bus 61,"Armagh, Buscentre - Craigavon, Rushmere Centre",3,,,
nir:15028: :H:mtt,,28,Bus 28,City Centre - Holywood Exchange,3,,,
nir:0978A: :R:y14,,78A,Bus 78A,Ballygawley - Dungannon,3,,,
nir:0700X:4:H:y14,,X4,Bus X4,Derry~Londonderry - Dublin Airport - Dublin,3,,,
nir:15010:D:R:mtt,,10D,Bus 10D,Lagmore Mount Eagles - City Centre,3,,,
nir:08320:A:H:y14,,320A,Bus 320A,Newcastle Town Service,3,,,
nir:19010: :R:y14,,10,Bus 10,Portaferry - Newtownards - Belfast,3,,,
nir:05116:D:R:y14,,116d,Bus 116d,Maghera - Coleraine,3,,,
nir:17338:A:H:y14,,338B,Bus 338B,Newry City Service - Ballyholland,3,,,
nir:10009:5:R:y14,,95,Bus 95,Enniskillen - Clones,3,,,
nir:21FY5: :R:y14,,FY5,Bus FY5,Gobnascale - Altnagelvin - City Centre,3,,,
nir:04502:B:R:y14,,502B,Bus 502B,Bangor - Holywood - Belfast,3,,,
nir:21FY6: :R:y14,,FY6,Bus FY6,Newbuildings - City Centre,3,,,
nir:05140:C:H:y14,,140c,Bus 140c,Coleraine - Portstewart - Portrush - Coleraine,3,,,
nir:02006:9:R:y14,,69,Bus 69,Darkley - Keady - Armagh,3,,,
nir:20087: :H:y14,,87,Bus 87,Buscentre - Omagh - Mainstreet - Fintona,3,,,
nir:15009:C:R:mtt,,9C,Bus 9C,Conway - Balmoral Sicily Park - City Centre,3,,,
nir:15010:F:R:mtt,,10F,Bus 10F,Lagmore View - City Centre,3,,,
nir:02371:B:H:y14,,371A,Bus 371A,Armagh - City Service,3,,,
nir:90005:X:R:r12,,,Rail,,6,,,
nir:15007:8:H:mtt,,78,Bus 78,City Centre - Belvoir - Newtownbreda Tesco,3,,,
nir:04302:E:H:y14,,302E,Bus 302E,Town Service Bloomfield,3,,,
nir:07014:3:H:y14,,143,Bus 143,Derry~Londonderry - Limavady - Coleraine,3,,,
nir:21FY1:0:H:y14,,FY10,Bus FY10,City Centre - Ballymagroarty,3,,,
nir:10019:5:H:y14,,195,Bus 195,Pettigo - Bundoran,3,,,
nir:02027:1:H:y14,,271,Bus 271,Belfast - Cavan,3,,,
nir:17041:B:R:y14,,41B,Bus 41B,Newry - Bessbrook - Newry,3,,,
nir:05172:A:H:y14,,172A,Bus 172A,Coleraine - Portballintrae,3,,,
nir:05116:E:H:y14,,116e,Bus 116e,Coleraine - Maghera,3,,,
nir:08051:5:H:y14,,515,Bus 515,Belfast - Downpatrick,3,,,
nir:130X1: :R:y14,,X1,Bus X1,Dublin - Dublin Airport - Belfast,3,,,
nir:15010:A:H:mtt,,10A,Bus 10A,City Centre - Ladybrook,3,,,
nir:17003:3:H:y14,,33,Bus 33,Rathfriland - Newry,3,,,
nir:15008:0:R:mtt,,80,Bus 80,Oldpark Westland Road - Ardoyne - City Centre,3,,,
nir:10009:4:H:y14,,94,Bus 94,Enniskillen - Omagh,3,,,
nir:15013:B:H:mtt,,13B,Bus 13B,City Centre - Glenville,3,,,
